"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Invalid Login - Special characters in USN","firefox","Thu Aug 28 23:58:19 IST 2025","skipped","Thu Aug 28 23:58:19 IST 2025","Login Page Tests","login.spec.js","",""
"","1","TC03 - Verify Sidebar Navigation","firefox","Thu Aug 28 23:44:32 IST 2025","skipped","Thu Aug 28 23:44:32 IST 2025","Dashboard Page Tests - POM","dashboard.spec.js","",""
"","0","Invalid Login - Wrong DOB with dynamic attempts","webkit","Thu Aug 28 23:58:19 IST 2025","skipped","Thu Aug 28 23:58:19 IST 2025","Login Page Tests","login.spec.js","",""
"","154588","Invalid Login - Leading/Trailing spaces in USN","chromium","Thu Aug 28 23:55:44 IST 2025","failed","Thu Aug 28 23:58:19 IST 2025","Login Page Tests","login.spec.js","",""
"","11121","Valid Login - Correct USN + DOB","firefox","Fri Aug 29 00:00:11 IST 2025","passed","Fri Aug 29 00:00:22 IST 2025","Login Page Tests","login.spec.js","",""
"","7080","Valid Login - Correct USN + DOB","chromium","Thu Aug 28 23:58:51 IST 2025","passed","Thu Aug 28 23:58:58 IST 2025","Login Page Tests","login.spec.js","",""
"","6775","Invalid Login - Only DOB filled","chromium","Thu Aug 28 23:59:44 IST 2025","passed","Thu Aug 28 23:59:51 IST 2025","Login Page Tests","login.spec.js","",""
"","8742","TC01 - Verify Dashboard page loads successfully","chromium","Thu Aug 28 23:44:22 IST 2025","failed","Thu Aug 28 23:44:31 IST 2025","Dashboard Page Tests - POM","dashboard.spec.js","",""
"","0","Invalid Login - Empty fields","firefox","Thu Aug 28 23:58:19 IST 2025","skipped","Thu Aug 28 23:58:19 IST 2025","Login Page Tests","login.spec.js","",""
"","0","Invalid Login - Wrong DOB with dynamic attempts","firefox","Thu Aug 28 23:58:19 IST 2025","skipped","Thu Aug 28 23:58:19 IST 2025","Login Page Tests","login.spec.js","",""
"","21974","TC01 - Verify Dashboard page loads successfully","webkit","Thu Aug 28 23:35:04 IST 2025","failed","Thu Aug 28 23:35:26 IST 2025","Dashboard Page Tests - POM","dashboard.spec.js","",""
"","1","Invalid Login - Leading/Trailing spaces in USN","firefox","Thu Aug 28 23:48:34 IST 2025","skipped","Thu Aug 28 23:48:34 IST 2025","Login Page Tests","login.spec.js","",""
"","0","Invalid Login - Special characters in USN","webkit","Thu Aug 28 23:58:19 IST 2025","skipped","Thu Aug 28 23:58:19 IST 2025","Login Page Tests","login.spec.js","",""
"","0","TC03 - Verify Sidebar Navigation","chromium","Thu Aug 28 23:44:32 IST 2025","skipped","Thu Aug 28 23:44:32 IST 2025","Dashboard Page Tests - POM","dashboard.spec.js","",""
"","1","TC04 - Verify Credits Earned","firefox","Thu Aug 28 23:44:32 IST 2025","skipped","Thu Aug 28 23:44:32 IST 2025","Dashboard Page Tests - POM","dashboard.spec.js","",""
"","1","TC02 - Verify Student Name is displayed","chromium","Thu Aug 28 23:44:32 IST 2025","skipped","Thu Aug 28 23:44:32 IST 2025","Dashboard Page Tests - POM","dashboard.spec.js","",""
